Subject_ID,gender,age,visual hit rate,auditory hit rate
001,F,27.5,99.41860465116278,78.75
002,M,26.0,99.41860465116278,80.41666666666666
003,M,22.0,99.41860465116278,79.58333333333334
004,F,30.5,100.0,78.75
005,F,24.5,99.12790697674419,83.33333333333334
006,M,20.0,99.41860465116278,77.08333333333333
007,F,20.0,99.70930232558139,80.0
008,M,27.0,100.0,83.33333333333334
009,F,22.0,99.70930232558139,79.58333333333333
010,M,22.0,100.0,81.66666666666667
011,F,34.0,100.0,81.66666666666667
012,M,33.5,100.0,80.41666666666666
